iter	Accuracy	Logloss
0	0.861167002	0.6675591699
1	0.8672032193	0.6420172322
2	0.8651911469	0.619414264133	0.861167002	0.601782966744	0.861167002	0.5860880046
5	0.861167002	0.5708970245
6	0.861167002	0.5569631842
7	0.861167002	0.5404835136
8	0.861167002	0.5247761235
9	0.861167002	0.5087136241
10	0.861167002	0.49697962
11	0.861167002	0.4840982717
12	0.861167002	0.4718339331113	0.861167002	0.4638856172114	0.861167002	0.4548813235115	0.861167002	0.4461949517116	0.861167002	0.4395737031717	0.861167002	0.4321022761818	0.861167002	0.4233579531919	0.861167002	0.4160635722020	0.861167002	0.4102032472121	0.861167002	0.4039893242222	0.861167002	0.4015047442323	0.861167002	0.3955602152424	0.861167002	0.3913333912525	0.861167002	0.3870623292626	0.861167002	0.3837435002727	0.861167002	0.3789162672828	0.861167002	0.3742370202929	0.861167002	0.3732743513030	0.861167002	0.3678393531	31	0.861167002	0.3640847932	32	0.861167002	0.3617421033	33	0.861167002	0.3564845334	34	0.861167002	0.355499194335	0.861167002	0.3523491939
36	0.861167002	0.3496776026
37	0.861167002	0.3491378258
38	0.861167002	0.3466055262
39	0.861167002	0.3445026438
40	0.861167002	0.3424343251
41	0.861167002	0.3417394029
42	0.861167002	0.3369887781
43	0.861167002	0.3324512105
44	0.8631790744	0.3311162817
45	0.8631790744	0.3302129204
46	0.8631790744	0.3290592913
47	0.8631790744	0.3270913056
48	0.8631790744	0.3262313914
49	0.8672032193	0.3240347219
50	0.8672032193	0.3228758571
51	0.8672032193	0.3216102857
52	0.8712273642	0.3194764733
53	0.8712273642	0.3167861326
54	0.8752515091	0.3152675194
55	0.8772635815	0.31363817
56	0.8772635815	0.3125203574
57	0.8732394366	0.311256472
58	0.8772635815	0.3097504106
59	0.8792756539	0.3089061928
60	0.8812877264	0.3078461465
61	0.8812877264	0.3058111283
62	0.8812877264	0.303980715
63	0.8792756539	0.3022132541
64	0.8792756539	0.3016381592
65	0.8792756539	0.3010038614
66	0.8792756539	0.3004780569
67	0.8792756539	0.2990471005
68	0.8812877264	0.2975946725
69	0.8792756539	0.2950563607
