iter	Passed	Remaining
0	124	124647
1	369	184465
2	580	193038
3	747	186043
4	936	186270
5	1143	189462
6	1330	188670
7	1502	186262
8	1699	187091
9	1884	186595
10	2070	186153
11	2244	184782
12	2454	186387
13	2684	189066
14	2822	185339
15	3024	186014
16	3286	190065
17	3505	191260
18	3661	189054
19	3860	189158
20	4017	187314
21	4209	187114
22	4504	191330
23	4697	191035
24	4853	189304
25	5037	188694
26	5222	188194
27	5448	189152
28	5662	189602
29	5856	189350
30	6062	189494
31	6243	188851
32	6418	188078
33	6614	187925
34	6785	187076
35	6964	186487
36	7116	185216
37	7229	183018
38	7402	182412
39	7575	181819
40	7749	181261
41	7901	180225
42	8092	180097
43	8337	181154
44	8539	181233
45	8712	180686
46	8896	180393
47	9025	179007
48	9259	179715
49	9437	179307
50	9666	179876
51	9860	179757
52	10078	180078
53	10399	182177
54	10703	183907
55	10944	184487
56	11202	185334
57	11410	185314
58	11616	185275
59	11876	186061
60	12076	185900
61	12280	185797
62	12478	185600
63	12672	185330
64	12892	185449
65	13079	185087
66	13273	184840
67	13476	184712
68	13697	184810
69	13931	185088
70	14155	185217
71	14365	185161
72	14596	185353
73	14777	184921
74	14967	184601
75	15144	184121
76	15352	184025
77	15597	184376
78	15859	184892
79	16117	185346
80	16390	185957
81	16586	185683
82	16813	185757
83	16956	184903
84	17204	185200
85	17386	184783
86	17592	184622
87	17846	184950
88	18095	185222
89	18355	185590
90	18591	185706
91	18797	185523
92	19086	186146
93	19337	186375
94	19520	185954
95	19733	185823
96	19994	186130
97	20233	186227
98	20481	186406
99	20737	186640
100	20973	186681
101	21148	186186
102	21362	186036
103	21549	185658
104	21796	185789
105	22009	185623
106	22252	185713
107	22610	186742
108	22812	186475
109	23028	186320
110	23251	186224
111	23447	185908
112	23655	185685
113	23894	185707
114	24084	185344
115	24293	185136
116	24516	185022
117	24736	184896
118	24913	184447
119	25122	184234
120	25351	184165
121	25595	184206
122	25788	183877
123	25976	183510
124	26154	183081
125	26336	182684
126	26547	182488
127	26771	182383
128	26983	182188
129	27185	181931
130	27352	181444
131	27537	181079
132	27743	180854
133	27940	180573
134	28142	180322
135	28316	179894
136	28508	179584
137	28679	179142
138	28901	179025
139	29120	178880
140	29314	178590
141	29484	178152
142	29646	177668
143	29814	177232
144	29986	176817
145	30182	176544
146	30374	176254
147	30580	176042
148	30802	175923
149	31012	175739
150	31214	175506
151	31405	175209
152	31583	174842
153	31786	174617
154	31979	174337
155	32174	174073
156	32349	173696
157	32552	173476
158	32772	173345
159	32976	173125
160	33175	172884
161	33365	172592
162	33571	172386
163	33776	172180
164	33993	172028
165	34203	171843
166	34381	171497
167	34596	171332
168	34797	171102
169	35025	171004
170	35250	170894
171	35476	170780
172	35691	170617
173	35909	170468
174	36120	170282
175	36336	170119
176	36603	170196
177	36827	170066
178	37026	169826
179	37288	169869
180	37499	169680
181	37677	169342
182	37934	169358
183	38173	169292
184	38364	169013
185	38551	168715
186	38750	168473
187	38953	168247
188	39151	168001
189	39334	167688
190	39536	167461
191	39749	167277
192	39940	167004
193	40146	166794
194	40392	166746
195	40607	166575
196	40818	166381
197	41049	166270
198	41266	166104
199	41449	165796
200	41677	165673
201	41888	165481
202	42146	165470
203	42357	165275
204	42590	165169
205	42800	164967
206	43009	164767
207	43221	164572
208	43448	164437
209	43749	164580
210	43982	164465
211	44197	164280
212	44414	164105
213	44640	163961
214	44848	163748
215	45071	163592
216	45295	163439
217	45488	163173
218	45709	163010
219	45903	162748
220	46122	162575
221	46336	162387
222	46567	162256
223	46796	162116
224	47026	161979
225	47244	161803
226	47476	161672
227	47725	161596
228	47991	161577
229	48233	161478
230	48442	161264
231	48651	161051
232	48874	160886
233	49091	160701
234	49339	160616
235	49580	160506
236	49831	160427
237	50077	160333
238	50328	160249
239	50583	160179
240	50845	160130
241	51076	159981
242	51316	159861
243	51557	159743
244	51781	159572
245	52018	159439
246	52262	159328
247	52472	159109
248	52698	158942
249	52918	158755
250	53143	158583
251	53366	158404
252	53595	158244
253	53811	158045
254	54035	157867
255	54251	157668
256	54471	157479
257	54727	157395
258	54945	157199
259	55163	157003
260	55383	156814
261	55596	156605
262	55821	156427
263	56037	156226
264	56257	156034
265	56481	155855
266	56701	155663
267	56924	155480
268	57137	155270
269	57352	155063
270	57573	154875
271	57795	154689
272	58005	154469
273	58230	154289
274	58447	154088
275	58680	153929
276	58898	153730
277	59118	153537
278	59341	153352
279	59562	153159
280	59785	152973
281	59998	152761
282	60211	152550
283	60432	152358
284	60648	152153
285	60867	151956
286	61074	151728
287	61291	151526
288	61511	151330
289	61728	151127
290	61946	150927
291	62159	150716
292	62378	150516
293	62602	150330
294	62839	150176
295	63059	149978
296	63276	149776
297	63550	149705
298	63772	149512
299	63987	149304
300	64231	149161
301	64453	148968
302	64674	148772
303	64890	148563
304	65099	148341
305	65315	148134
306	65553	147976
307	65775	147781
308	65990	147570
309	66208	147368
310	66430	147171
311	66650	146973
312	66860	146751
313	67081	146553
314	67302	146356
315	67521	146154
316	67738	145948
317	67957	145746
318	68172	145534
319	68381	145311
320	68616	145142
321	68837	144942
322	69056	144740
323	69271	144528
324	69493	144331
325	69707	144119
326	69931	143926
327	70141	143705
328	70357	143494
329	70573	143285
330	70795	143088
331	71010	142876
332	71222	142659
333	71443	142458
334	71664	142259
335	71880	142049
336	72094	141836
337	72309	141624
338	72534	141432
339	72757	141234
340	72976	141031
341	73194	140824
342	73399	140593
343	73622	140395
344	73840	140189
345	74056	139979
346	74277	139779
347	74503	139586
348	74726	139389
349	74945	139185
350	75159	138970
351	75378	138764
352	75598	138561
353	75818	138358
354	76033	138145
355	76252	137939
356	76475	137742
357	76688	137524
358	76901	137309
359	77118	137098
360	77331	136884
361	77550	136677
362	77767	136468
363	77982	136254
364	78204	136054
365	78419	135841
366	78645	135647
367	78866	135444
368	79079	135228
369	79295	135017
370	79525	134829
371	79741	134616
372	79955	134402
373	80171	134190
374	80377	133962
375	80609	133777
376	80832	133578
377	81044	133358
378	81265	133155
379	81487	132953
380	81705	132745
381	81921	132532
382	82153	132346
383	82398	132181
384	82622	131981
385	82833	131761
386	83051	131552
387	83267	131340
388	83495	131145
389	83711	130934
390	83930	130726
391	84148	130515
392	84367	130308
393	84590	130106
394	84808	129896
395	85023	129682
396	85240	129470
397	85459	129263
398	85678	129054
399	85894	128841
400	86108	128626
401	86322	128410
402	86552	128217
403	86771	128009
404	86988	127797
405	87204	127585
406	87421	127373
407	87641	127166
408	87858	126954
