iter	Passed	Remaining
0	118	118405
1	125	62576
2	135	44946
3	143	35795
4	151	30158
5	169	28150
6	197	28020
7	219	27238
8	231	25485
9	257	25457
10	283	25480
11	294	24248
12	312	23717
13	327	23048
14	336	22097
15	367	22584
16	393	22762
17	418	22808
18	441	22800
19	463	22706
20	470	21928
21	481	21418
22	506	21506
23	512	20836
24	540	21098
25	572	21463
26	603	21732
27	621	21575
28	641	21464
29	667	21579
30	687	21498
31	700	21195
32	709	20793
33	727	20669
34	758	20912
35	779	20870
36	791	20593
37	813	20598
38	831	20481
39	857	20586
40	866	20274
41	893	20388
42	907	20203
43	923	20068
44	935	19845
45	966	20046
46	979	19859
47	1008	20011
48	1034	20077
49	1061	20170
50	1087	20229
51	1098	20027
52	1115	19934
53	1138	19953
54	1162	19970
55	1195	20147
56	1218	20151
57	1243	20202
58	1262	20134
59	1288	20192
60	1312	20206
61	1344	20336
62	1355	20164
63	1379	20182
64	1393	20039
65	1411	19968
66	1438	20034
67	1461	20032
68	1476	19927
69	1504	19989
70	1510	19766
71	1540	19851
72	1566	19890
73	1573	19688
74	1581	19500
75	1611	19591
76	1637	19632
77	1652	19533
78	1678	19569
79	1703	19585
80	1710	19403
81	1731	19385
82	1744	19269
83	1760	19194
84	1769	19045
85	1791	19042
86	1818	19086
87	1837	19044
88	1846	18897
89	1873	18947
90	1883	18819
91	1909	18849
92	1935	18872
93	1962	18914
94	1972	18794
95	1996	18801
96	2023	18838
97	2053	18898
98	2073	18874
99	2095	18857
100	2107	18759
101	2123	18696
102	2146	18689
103	2158	18595
104	2180	18584
105	2201	18563
106	2225	18571
107	2251	18598
108	2284	18672
109	2308	18676
110	2330	18668
111	2353	18660
112	2375	18644
113	2381	18507
114	2404	18500
115	2429	18511
116	2453	18520
117	2463	18415
118	2484	18395
119	2494	18289
120	2517	18284
121	2537	18261
122	2561	18263
123	2581	18239
124	2603	18224
125	2626	18220
126	2652	18233
127	2662	18136
128	2668	18016
129	2687	17988
130	2710	17978
131	2732	17965
132	2753	17952
133	2775	17934
134	2797	17926
135	2806	17832
136	2829	17825
137	2857	17848
138	2878	17832
139	2901	17822
140	2923	17812
141	2929	17702
142	2952	17693
143	2973	17675
144	2982	17587
145	3004	17574
146	3010	17467
147	3035	17477
148	3046	17400
149	3069	17391
150	3075	17292
151	3087	17222
152	3108	17208
153	3118	17129
154	3129	17063
155	3141	16998
156	3163	16985
157	3179	16944
158	3201	16931
159	3222	16916
160	3245	16911
161	3264	16886
162	3288	16886
163	3311	16878
164	3333	16867
165	3342	16791
166	3364	16782
167	3385	16765
168	3406	16750
169	3429	16743
170	3452	16735
171	3476	16736
172	3487	16669
173	3510	16662
174	3532	16654
175	3554	16642
176	3575	16626
177	3597	16614
178	3603	16527
179	3624	16510
180	3644	16490
181	3672	16504
182	3692	16484
183	3714	16473
184	3735	16457
185	3747	16399
186	3768	16385
187	3775	16306
188	3797	16294
189	3820	16288
190	3827	16210
191	3839	16156
192	3860	16140
193	3882	16129
194	3907	16131
195	3923	16095
196	3944	16079
197	3966	16067
198	3988	16052
199	4011	16046
200	4021	15985
201	4043	15973
202	4064	15956
203	4085	15942
204	4095	15881
205	4119	15877
206	4140	15863
207	4160	15841
208	4182	15830
209	4205	15819
210	4227	15806
211	4248	15790
212	4272	15788
213	4298	15789
214	4320	15774
215	4343	15763
216	4363	15746
217	4385	15730
218	4405	15709
219	4426	15693
220	4446	15673
221	4469	15663
222	4492	15654
223	4518	15654
224	4541	15641
225	4562	15624
226	4584	15611
227	4607	15599
228	4627	15578
229	4648	15561
230	4669	15544
231	4689	15525
232	4712	15512
233	4737	15507
234	4758	15490
235	4781	15479
236	4805	15469
237	4828	15458
238	4849	15440
239	4870	15422
240	4891	15404
241	4911	15384
242	4932	15364
243	4955	15353
244	4977	15339
245	5000	15327
246	5020	15306
